,animal,session,cluster ID,Choice modulation,depth
367,BS_42,BS_42_2_AC.pickle,62,1.2466666666666666,0.895
368,BS_42,BS_42_2_AC.pickle,64,1.053333333333333,0.895
369,BS_42,BS_42_2_AC.pickle,68,21.08,0.97
370,BS_42,BS_42_2_AC.pickle,69,12.553333333333333,0.995
371,BS_42,BS_42_2_AC.pickle,78,0.9400000000000002,0.87
372,BS_42,BS_42_2_AC.pickle,82,2.6999999999999997,0.8575
373,BS_42,BS_42_2_AC.pickle,84,4.628237259816207,0.8325
374,BS_42,BS_42_2_AC.pickle,85,7.473333333333332,1.02
375,BS_42,BS_42_2_AC.pickle,86,13.473333333333333,1.02
376,BS_42,BS_42_2_AC.pickle,89,0.4533333333333335,0.7825
377,BS_42,BS_42_2_AC.pickle,100,0.23238925199709498,0.7075
378,BS_42,BS_42_2_AC.pickle,108,3.2331902718168815,0.57
379,BS_42,BS_42_2_AC.pickle,112,5.825396825396825,1.1825
380,BS_42,BS_42_2_AC.pickle,115,0.8843537414965986,0.595
381,BS_42,BS_42_2_AC.pickle,116,0.044296788482835046,0.67
